pct,size_usd
0,0.000001
1,0.600974
2,1.396391
3,2.627806
4,4.425629
5,5.975672
6,8.480754
7,9.996000
8,12.175870
9,14.998386
10,18.969923
11,21.709072
12,25.169357
13,29.954430
14,33.446568
15,39.815446
16,45.641354
17,49.701269
18,51.298736
19,54.431449
20,58.306959
21,65.808887
22,75.056905
23,85.789610
24,95.537086
25,99.582570
26,100.188679
27,109.029056
28,119.981772
29,133.908057
30,147.019788
31,156.418623
32,171.851697
33,187.826774
34,199.091635
35,203.485241
36,221.684889
37,242.001865
38,254.848965
39,277.309675
40,297.329461
41,302.117566
42,324.902042
43,349.045174
44,371.155438
45,397.498770
46,416.638895
47,449.337984
48,477.252852
49,495.125521
50,499.544350
51,504.425268
52,536.440040
53,570.345467
54,600.914850
55,646.049206
56,694.451980
57,738.040122
58,788.685758
59,837.934881
60,895.251442
61,949.034603
62,989.265244
63,999.020181
64,1003.909859
65,1060.602921
66,1138.337963
67,1225.249324
68,1319.152265
69,1429.574383
70,1505.405900
71,1629.654984
72,1765.896748
73,1899.299693
74,1998.224063
75,2094.319210
76,2302.646942
77,2499.750188
78,2783.578575
79,2997.900831
80,3269.954518
81,3663.847776
82,4021.118028
83,4579.020522
84,4995.479453
85,5408.458181
86,6184.087031
87,7200.240590
88,8427.916950
89,9972.735609
90,10846.182554
91,13547.077764
92,16985.257710
93,20971.173688
94,27848.436153
95,37872.575014
96,50422.803342
97,79877.883071
98,128702.741045
99,270193.605345
99.1,299968.175377
99.2,335297.981844
99.3,371060.234020
99.4,409174.022427
99.5,457536.006865
99.6,504291.622128
99.7,599782.225885
99.8,768370.725041
99.9,999487.476250
99.99,2396959.470465
100,9792324.496842
